#id: 1929149134
#name: M.tuberculosis - Whole organism (Integrated)
#score: 14.09
#description: integrated dataset: weighted average of all M.tuberculosis WHOLE_ORGANISM, Interaction consistency score: 14.09, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 85
#publication_year: 2021
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
8819006	83332.Rv1638A	336
8818241	83332.Rv0889c	336
8820642	83332.Rv3224B	336
8820949	83332.Rv3528c	334
8819379	83332.Rv2005c	333
8817795	83332.Rv0458	332
8820028	83332.Rv2629	332
8817483	83332.Rv0154c	332
8817904	83332.Rv0562	331
8821115	83332.Rv3692	331
8820339	83332.Rv2935	331
8817827	83332.Rv0489	331
8820073	83332.Rv2674	330
8819904	83332.Rv2509	330
8818447	83332.Rv1091	329
8819860	83332.Rv2466c	328
8821135	83332.Rv3710	327
8819953	83332.Rv2556c	327
8820153	83332.Rv2753c	327
8820512	83332.Rv3102c	325
8821318	83332.Rv3890c	325
8820416	83332.Rv3009c	325
8818033	83332.Rv0686	324
8817778	83332.Rv0443	323
8821296	83332.Rv3868	323
8818103	83332.Rv0753c	322
8818206	83332.Rv0854	320
8819848	83332.Rv2454c	320
8819780	83332.Rv2391	319
8820639	83332.Rv3223c	319
8817504	83332.Rv0174	319
8818980	83332.Rv1613	318
8819275	83332.Rv1906c	317
8818961	83332.Rv1594	315
8820537	83332.Rv3127	313
8819932	83332.Rv2536	313
8817845	83332.Rv0504c	311
8820557	83332.Rv3146	311
8820393	83332.Rv2987c	311
8819574	83332.Rv2196	311
8817817	83332.Rv0479c	311
8819838	83332.Rv2444c	309
8819762	83332.Rv2373c	309
8819026	83332.Rv1658	309
8820940	83332.Rv3519	308
8819443	83332.Rv2068c	308
8819406	83332.Rv2032	308
8820096	83332.Rv2697c	307
8817812	83332.Rv0474	305
8819820	83332.Rv2427c	305
8820014	83332.Rv2615c	305
8820298	83332.Rv2895c	305
8819556	83332.Rv2178c	305
8818797	83332.Rv1435c	304
8817503	83332.Rv0173	304
8819243	83332.Rv1875	303
8819381	83332.Rv2007c	303
8817746	83332.Rv0411c	301
8819178	83332.Rv1810	300
8820554	83332.Rv3143	299
8821319	83332.Rv3891c	298
8817559	83332.Rv0227c	297
8818305	83332.Rv0954	297
8820090	83332.Rv2691	296
8820515	83332.Rv3105c	294
8821345	83332.Rv3917c	294
8820413	83332.Rv3006	294
8820561	83332.Rv3150	292
8817655	83332.Rv0321	292
8819588	83332.Rv2210c	291
8817500	83332.Rv0170	291
8819631	83332.Rv2250A	291
8821090	83332.Rv3668c	290
8818125	83332.Rv0774c	290
8820728	83332.Rv3310	289
8820417	83332.Rv3010c	288
8818108	83332.Rv0757	288
8818551	83332.Rv1192	288
8819605	83332.Rv2226	287
8818816	83332.Rv1454c	286
8817486	83332.Rv0157	286
8820399	83332.Rv2993c	286
8819723	83332.Rv2334	286
8817735	83332.Rv0400c	286
8818975	83332.Rv1608c	285
8819289	83332.Rv1920	285
8821246	83332.Rv3818	283
8821278	83332.Rv3850	283
8817615	83332.Rv0281	283
8818080	83332.Rv0731c	283
8817449	83332.Rv0120c	282
8818686	83332.Rv1325c	282
8820331	83332.Rv2927c	282
8817665	83332.Rv0331	281
8821227	83332.Rv3799c	280
8820260	83332.Rv2858c	279
8820115	83332.Rv2716	279
8818346	83332.Rv0993	278
8818101	83332.Rv0751c	276
8820788	83332.Rv3368c	276
