#id: 4146582079
#name: E.coli - Whole organism (Integrated)
#score: 24.69
#description: integrated dataset: weighted average of all E.coli WHOLE_ORGANISM, Interaction consistency score: 24.69, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
15201943	511145.b2951	205
15200075	511145.b0910	204
15200851	511145.b1748	204
15202689	511145.b3770	203
15203104	511145.b4232	203
15200289	511145.b1133	203
15201765	511145.b2751	202
15202339	511145.b3389	202
15200952	511145.b1849	202
15202951	511145.b4068	201
15201898	511145.b2901	201
15202988	511145.b4108	200
15200030	511145.b0864	200
15200991	511145.b1888	200
15202924	511145.b4041	199
15199791	511145.b0597	199
15203129	511145.b4260	199
15199789	511145.b0595	198
15201298	511145.b2239	196
15202130	511145.b3162	196
15201902	511145.b2905	196
15200933	511145.b1830	195
15199854	511145.b0674	194
15202536	511145.b3599	194
15202047	511145.b3071	193
15201116	511145.b2040	193
15199420	511145.b0177	192
15202141	511145.b3175	192
15199625	511145.b0416	192
15200092	511145.b0927	191
15200951	511145.b1848	191
15201952	511145.b2960	191
15201755	511145.b2741	190
15199842	511145.b0651	189
15201986	511145.b3003	189
15201689	511145.b2668	189
15202671	511145.b3742	188
15200669	511145.b1555	188
15200096	511145.b0931	187
15201343	511145.b2284	187
15202078	511145.b3102	186
15201802	511145.b2790	186
15202580	511145.b3644	186
15201094	511145.b2016	186
15200542	511145.b1412	185
15202545	511145.b3608	185
15202155	511145.b3189	185
15201233	511145.b2168	184
15200828	511145.b1725	182
15202856	511145.b3959	182
15201099	511145.b2022	181
15202672	511145.b3743	181
15200544	511145.b1414	180
15201890	511145.b2893	180
15201639	511145.b2600	180
15200421	511145.b1279	180
15201776	511145.b2762	180
15199324	511145.b0077	180
15199572	511145.b0356	179
15199986	511145.b0820	179
15202659	511145.b3730	179
15202383	511145.b3439	179
15202993	511145.b4113	179
15201939	511145.b2947	178
15199629	511145.b0420	178
15201636	511145.b2595	177
15199619	511145.b0410	177
15202820	511145.b3922	177
15200377	511145.b1232	176
15200031	511145.b0865	176
15201516	511145.b2471	176
15201047	511145.b1955	176
15199916	511145.b0742	176
15199924	511145.b0757	176
15199631	511145.b0422	176
15203051	511145.b4175	175
15200414	511145.b1272	175
15202338	511145.b3388	174
15200612	511145.b1492	174
15201907	511145.b2910	173
15199518	511145.b0296	173
15200347	511145.b1199	173
15200417	511145.b1275	173
15203305	511145.b4518	173
15200244	511145.b1088	172
15201647	511145.b2608	172
15201362	511145.b2303	172
15202243	511145.b3291	171
15202785	511145.b3885	171
15200607	511145.b1487	171
15201950	511145.b2958	171
15199819	511145.b0628	170
15200073	511145.b0908	170
15202821	511145.b3923	168
15202164	511145.b3198	168
15200979	511145.b1876	168
15202908	511145.b4024	168
15200261	511145.b1105	167
15203328	511145.b4554	167
15199375	511145.b0131	167
15202554	511145.b3617	167
15199689	511145.b0481	165
15201295	511145.b2235	165
15200190	511145.b1033	164
15199849	511145.b0658	161
15202530	511145.b3592	161
15202715	511145.b3803	161
15201025	511145.b1928	160
15201843	511145.b2834	160
15202725	511145.b3816	160
15202673	511145.b3744	160
15200406	511145.b1263	159
15200475	511145.b1334	158
15199688	511145.b0480	158
15202398	511145.b3455	158
15202765	511145.b3865	157
15200405	511145.b1262	157
15200411	511145.b1269	157
15199403	511145.b0159	156
15202897	511145.b4013	156
15201476	511145.b2431	156
15199550	511145.b0334	155
15202843	511145.b3945	155
15199778	511145.b0584	155
15202118	511145.b3150	154
15200557	511145.b1430	154
15203232	511145.b4382	154
15200121	511145.b0956	154
15200199	511145.b1042	154
15202885	511145.b3997	152
15202746	511145.b3838	151
15201694	511145.b2673	151
15200243	511145.b1087	151
15199364	511145.b0120	151
15199604	511145.b0394	151
15202584	511145.b3648	151
15202630	511145.b3701	151
15202176	511145.b3210	150
15200202	511145.b1045	150
15199254	511145.b0003	150
15200470	511145.b1329	149
15203246	511145.b4396	149
15203180	511145.b4322	149
15200841	511145.b1738	148
15200437	511145.b1295	147
15199993	511145.b0827	147
15202367	511145.b3417	147
15201108	511145.b2032	147
15201214	511145.b2149	147
15203225	511145.b4375	147
15202830	511145.b3932	145
15200425	511145.b1283	145
15200883	511145.b1780	145
15200428	511145.b1286	144
15200036	511145.b0870	144
15200830	511145.b1727	144
15200895	511145.b1792	144
15199620	511145.b0411	143
15200200	511145.b1043	143
15199788	511145.b0594	143
15201703	511145.b2684	143
15199767	511145.b0573	142
15202838	511145.b3940	142
15202576	511145.b3639	142
15200731	511145.b1623	142
15201248	511145.b2183	142
15202920	511145.b4036	141
15202857	511145.b3960	141
15202221	511145.b3259	140
15199866	511145.b0686	140
15200652	511145.b1536	140
15202406	511145.b3463	139
15201117	511145.b2041	139
15199432	511145.b0189	138
15199331	511145.b0085	138
15202171	511145.b3205	138
15200131	511145.b0966	138
15200788	511145.b1682	138
15201087	511145.b2009	137
15199780	511145.b0586	136
15202121	511145.b3153	136
15199857	511145.b0677	135
15200671	511145.b1557	135
15199297	511145.b0048	135
15199472	511145.b0242	135
15201039	511145.b1946	135
15202854	511145.b3957	135
15200827	511145.b1724	133
15199950	511145.b0783	133
15202007	511145.b3028	133
15199461	511145.b0226	133
15199660	511145.b0451	132
15201102	511145.b2025	132
15199652	511145.b0443	132
15202063	511145.b3087	132
15202905	511145.b4021	132
15201363	511145.b2304	131
15199592	511145.b0381	130
15199765	511145.b0571	130
15199469	511145.b0238	130
15202887	511145.b3999	130
15201100	511145.b2023	130
15203164	511145.b4305	129
15203317	511145.b4537	128
15202068	511145.b3092	128
15201940	511145.b2948	128
15201760	511145.b2746	128
15201766	511145.b2752	128
15202720	511145.b3809	128
15202810	511145.b3910	128
15202788	511145.b3888	127
15202163	511145.b3197	127
15199952	511145.b0785	126
15200447	511145.b1305	126
15202787	511145.b3887	126
15201466	511145.b2421	126
15199583	511145.b0369	125
15201988	511145.b3006	125
15202138	511145.b3170	124
15200871	511145.b1768	124
15199509	511145.b0287	124
15200088	511145.b0923	124
15200407	511145.b1264	124
15199601	511145.b0390	124
15203254	511145.b4406	123
15199633	511145.b0424	123
15200089	511145.b0924	123
15200226	511145.b1070	123
15200970	511145.b1867	123
15202308	511145.b3356	123
15199859	511145.b0679	122
15200179	511145.b1018	122
15199278	511145.b0029	122
15201014	511145.b1917	121
15201011	511145.b1914	121
15203304	511145.b4517	121
15202950	511145.b4067	121
15202822	511145.b3924	120
15200110	511145.b0945	120
15200212	511145.b1056	120
15199856	511145.b0676	119
15202929	511145.b4046	119
15200399	511145.b1256	119
15200133	511145.b0968	119
15201609	511145.b2564	117
15199260	511145.b0009	117
15201312	511145.b2253	117
15201103	511145.b2026	117
15203044	511145.b4168	117
15200784	511145.b1678	116
15199356	511145.b0112	116
15201987	511145.b3005	115
15201234	511145.b2169	115
15200163	511145.b0999	115
15201949	511145.b2957	115
15203097	511145.b4222	114
15201292	511145.b2232	114
15201616	511145.b2571	114
15202168	511145.b3202	114
15202441	511145.b3500	114
15199328	511145.b0082	114
15200666	511145.b1552	114
15199764	511145.b0570	113
15203040	511145.b4161	113
15203088	511145.b4213	113
15200949	511145.b1846	113
15203208	511145.b4355	113
