,loc_tag,abundance
795,Rv3520c,173
796,Rv0734,173
797,Rv2367c,172
798,Rv0865,172
799,Rv2265,172
800,Rv3148,172
801,Rv2338c,171
802,Rv0853c,171
803,Rv2841c,171
804,Rv2680,171
805,Rv3224A,171
806,Rv0818,170
807,Rv3339c,170
808,Rv2359,169
809,Rv3048c,169
810,Rv2888c,169
811,Rv1396c,169
812,Rv0127,169
813,Rv1408,169
814,Rv1267c,168
815,Rv3465,168
816,Rv0332,168
817,Rv2030c,168
818,Rv3200c,168
819,Rv0175,167
820,Rv1423,167
821,Rv0126,165
822,Rv1609,164
823,Rv2614c,164
824,Rv2122c,164
825,Rv1464,164
826,Rv3568c,163
827,Rv2675c,163
828,Rv2595,162
829,Rv2097c,162
830,Rv2345,162
831,Rv1656,161
832,Rv2575,161
833,Rv2916c,160
834,Rv3485c,160
835,Rv0576,159
836,Rv1521,159
837,Rv2740,159
838,Rv0146,158
839,Rv0034,158
840,Rv3090,157
841,Rv0403c,157
842,Rv0178,157
843,Rv2790c,156
844,Rv1292,156
845,Rv0041,156
846,Rv1614,156
847,Rv1825,156
848,Rv1380,155
849,Rv0780,155
850,Rv3256c,155
851,Rv3742c,155
852,Rv1531,155
853,Rv0188,155
854,Rv1218c,154
855,Rv2330c,154
856,Rv0429c,154
857,Rv2121c,153
858,Rv3876,153
859,Rv3051c,153
860,Rv0956,152
861,Rv1097c,152
862,Rv2572c,152
863,Rv0445c,152
864,Rv2475c,152
865,Rv3198A,151
866,Rv1362c,151
867,Rv2290,151
868,Rv2449c,151
869,Rv0647c,150
870,Rv3864,150
871,Rv1504c,150
872,Rv3646c,150
873,Rv1106c,150
874,Rv3575c,150
875,Rv1412,149
876,Rv0347,149
877,Rv0168,149
878,Rv2955c,149
879,Rv0187,149
880,Rv2859c,148
881,Rv2692,148
882,Rv2679,148
883,Rv3869,148
884,Rv0249c,148
885,Rv0011c,148
886,Rv2113,148
887,Rv2936,147
888,Rv2605c,147
889,Rv1683,147
890,Rv2098c,146
891,Rv0230c,146
892,Rv1650,146
893,Rv1056,146
894,Rv1603,146
895,Rv2496c,146
896,Rv2560,145
897,Rv1911c,145
898,Rv3491,144
899,Rv0694,144
900,Rv3137,144
901,Rv2114,144
902,Rv0505c,143
903,Rv3778c,143
904,Rv3871,143
905,Rv3667,142
906,Rv0338c,142
907,Rv2394,141
908,Rv0200,141
909,Rv0356c,141
910,Rv2219,141
911,Rv2853,140
912,Rv1593c,140
913,Rv0140,140
914,Rv3879c,140
915,Rv1899c,139
916,Rv1082,139
917,Rv0423c,139
918,Rv3213c,138
919,Rv1815,138
920,Rv1229c,138
921,Rv2448c,138
922,Rv2965c,137
923,Rv0308,137
924,Rv3726,137
925,Rv1746,136
926,Rv0040c,136
927,Rv1327c,135
928,Rv1007c,135
929,Rv0263c,135
930,Rv0334,134
931,Rv2291,134
932,Rv3134c,134
933,Rv2289,134
934,Rv2683,134
935,Rv2272,134
936,Rv2405,133
937,Rv0097,133
938,Rv1910c,133
939,Rv1978,133
940,Rv3392c,133
941,Rv0969,133
942,Rv2718c,133
943,Rv0911,132
944,Rv3050c,132
945,Rv0079,131
946,Rv3130c,131
947,Rv3131,131
948,Rv0803,131
949,Rv0292,130
950,Rv3208,130
951,Rv2002,130
952,Rv3376,130
953,Rv1783,130
954,Rv1206,130
955,Rv3921c,130
956,Rv2410c,130
957,Rv0067c,130
958,Rv2933,130
959,Rv3015c,129
960,Rv3261,129
961,Rv3210c,128
962,Rv2860c,128
963,Rv0813c,128
964,Rv2923c,128
965,Rv2607,128
966,Rv1021,128
967,Rv2838c,126
968,Rv3197,126
969,Rv1391,126
970,Rv1175c,126
971,Rv1216c,126
972,Rv1450c,126
973,Rv2589,126
974,Rv2193,125
975,Rv1923,125
976,Rv3569c,125
977,Rv2789c,125
978,Rv3826,125
979,Rv3432c,125
980,Rv1680,125
981,Rv0131c,125
982,Rv2881c,124
983,Rv3436c,124
984,Rv0042c,124
985,Rv3859c,124
986,Rv2981c,124
987,Rv0634c,124
988,Rv2967c,123
989,Rv1901,123
990,Rv1397c,123
991,Rv2142c,123
992,Rv2251,122
993,Rv1260,122
994,Rv1826,122
995,Rv3651,122
996,Rv1602,122
997,Rv3661,122
998,Rv0063,121
999,Rv2182c,121
1000,Rv0222,121
1001,Rv1419,121
1002,Rv2984,121
1003,Rv0001,120
1004,Rv2989,120
1005,Rv1368,120
1006,Rv1452c,120
1007,Rv3503c,119
1008,Rv3302c,119
1009,Rv2731,119
1010,Rv1239c,119
1011,Rv3607c,119
1012,Rv3719,119
1013,Rv3490,119
1014,Rv3873,118
1015,Rv2447c,118
1016,Rv0450c,118
1017,Rv1196,118
1018,Rv1471,118
1019,Rv2284,118
1020,Rv1447c,117
1021,Rv0497,117
1022,Rv1238,117
1023,Rv1909c,117
1024,Rv2314c,117
1025,Rv1852,117
1026,Rv3866,117
1027,Rv0018c,116
1028,Rv3478,115
1029,Rv0013,115
1030,Rv2668,115
1031,Rv2183c,115
1032,Rv2934,115
1033,Rv2238c,115
1034,Rv0431,114
1035,Rv3384c,114
1036,Rv0389,114
1037,Rv1655,114
1038,Rv0493c,114
1039,Rv2208,114
1040,Rv3907c,113
1041,Rv0676c,113
1042,Rv2135c,113
1043,Rv0130,113
1044,Rv1113,113
1045,Rv0296c,112
1046,Rv3672c,112
1047,Rv1795,112
1048,Rv0760c,111
1049,Rv0410c,111
1050,Rv2237A,111
1051,Rv0939,111
1052,Rv2658c,111
1053,Rv2590,111
1054,Rv1833c,110
1055,Rv2243,110
1056,Rv3003c,109
1057,Rv2528c,109
1058,Rv2906c,109
1059,Rv1667c,109
1060,Rv3608c,109
1061,Rv0564c,109
1062,Rv2627c,108
1063,Rv2988c,108
1064,Rv3114,108
1065,Rv1629,108
1066,Rv0392c,108
1067,Rv0062,108
1068,Rv1304,108
1069,Rv2493,107
1070,Rv2696c,107
1071,Rv3284,107
1072,Rv3683,106
1073,Rv1708,106
1074,Rv3582c,106
1075,Rv1481,105
1076,Rv3536c,105
1077,Rv0538,105
1078,Rv0547c,105
1079,Rv1268c,105
1080,Rv3702c,105
1081,Rv1737c,104
1082,Rv0077c,104
1083,Rv3136,104
1084,Rv3820c,104
1085,Rv1006,103
1086,Rv1345,103
1087,Rv2422,103
1088,Rv0224c,103
1089,Rv2554c,103
1090,Rv1217c,103
1091,Rv1820,103
1092,Rv0108c,103
1093,Rv0966c,103
1094,Rv0545c,103
1095,Rv3580c,102
1096,Rv1556,102
1097,Rv1679,102
1098,Rv1891,102
1099,Rv0800,102
1100,Rv2387,101
1101,Rv1689,101
1102,Rv2786c,101
1103,Rv2597,101
1104,Rv2392,101
1105,Rv0491,101
1106,Rv2500c,101
1107,Rv0533c,100
1108,Rv3772,100
1109,Rv0480c,99
1110,Rv3091,99
1111,Rv3438,99
1112,Rv0078A,99
1113,Rv3767c,98
1114,Rv0864,98
1115,Rv2438c,98
1116,Rv1536,98
1117,Rv1957,98
1118,Rv3451,98
1119,Rv3863,97
1120,Rv0153c,97
1121,Rv0207c,97
1122,Rv1959c,97
1123,Rv0477,97
1124,Rv3790,96
1125,Rv1045,96
1126,Rv3230c,96
1127,Rv0176,96
1128,Rv0858c,96
1129,Rv0096,96
1130,Rv1387,95
1131,Rv1513,95
1132,Rv2754c,95
1133,Rv1184c,95
1134,Rv0272c,95
1135,Rv0940c,94
1136,Rv1898,94
1137,Rv1598c,94
1138,Rv2624c,94
1139,Rv0590,94
1140,Rv0711,94
1141,Rv1341,94
1142,Rv1194c,94
1143,Rv2568c,94
1144,Rv3858c,93
1145,Rv0317c,93
1146,Rv2323c,93
1147,Rv3761c,93
1148,Rv0014c,92
1149,Rv3819,92
1150,Rv2558,92
1151,Rv0156,92
1152,Rv3068c,91
1153,Rv2855,91
1154,Rv0985c,91
1155,Rv1326c,91
1156,Rv1874,91
1157,Rv3682,91
1158,Rv1628c,91
1159,Rv3624c,90
1160,Rv1145,90
1161,Rv1276c,90
1162,Rv2750,90
1163,Rv1210,90
1164,Rv3910,90
1165,Rv3600c,89
1166,Rv2065,89
1167,Rv0181c,89
1168,Rv3514,89
1169,Rv3025c,89
1170,Rv0794c,89
1171,Rv2724c,89
1172,Rv3508,89
1173,Rv0809,89
1174,Rv0785,89
1175,Rv2206,88
1176,Rv1604,88
1177,Rv1653,88
1178,Rv1665,88
1179,Rv0687,88
1180,Rv3723,88
1181,Rv0787,88
1182,Rv3227,88
1183,Rv2207,87
1184,Rv2315c,87
1185,Rv3342,87
1186,Rv3882c,87
1187,Rv0820,87
1188,Rv2619c,87
1189,Rv3042c,87
1190,Rv3679,87
1191,Rv0262c,86
1192,Rv3155,86
1193,Rv1143,86
1194,Rv2565,86
1195,Rv0451c,86
1196,Rv3119,86
1197,Rv1570,86
1198,Rv2503c,86
1199,Rv0437c,86
1200,Rv3610c,86
1201,Rv0301,86
1202,Rv1476,86
1203,Rv1266c,85
1204,Rv2115c,85
1205,Rv2364c,85
1206,Rv1415,85
1207,Rv2586c,85
1208,Rv2625c,85
1209,Rv1154c,85
1210,Rv0476,85
1211,Rv2932,84
1212,Rv2537c,84
1213,Rv0554,84
1214,Rv3211,84
1215,Rv1142c,84
1216,Rv0560c,84
1217,Rv0795,83
1218,Rv1370c,83
1219,Rv1757c,83
1220,Rv1763,83
1221,Rv2105,83
1222,Rv2168c,83
1223,Rv2278,83
1224,Rv2354,83
1225,Rv2480c,83
1226,Rv2648,83
1227,Rv2815c,83
1228,Rv3184,83
1229,Rv3186,83
1230,Rv3325,83
1231,Rv3381c,83
1232,Rv3474,83
1233,Rv0654,83
1234,Rv3441c,83
1235,Rv1008,83
1236,Rv0412c,83
1237,Rv2801A,83
1238,Rv0203,83
1239,Rv1659,83
1240,Rv0265c,83
1241,Rv2037c,82
1242,Rv0568,82
1243,Rv1446c,82
1244,Rv2700,82
1245,Rv2473,82
1246,Rv3579c,82
1247,Rv0015c,82
1248,Rv3483c,81
1249,Rv3189,81
1250,Rv3328c,81
1251,Rv3684,81
1252,Rv2844,81
1253,Rv2118c,81
1254,Rv2930,81
1255,Rv0825c,81
1256,Rv1386,81
1257,Rv3633,81
1258,Rv2134c,81
1259,Rv1013,80
1260,Rv1315,80
1261,Rv0361,80
1262,Rv2112c,79
1263,Rv1303,79
1264,Rv3315c,79
1265,Rv1507c,79
1266,Rv3132c,79
1267,Rv1170,79
1268,Rv1857,79
1269,Rv0457c,79
1270,Rv1713,78
1271,Rv0575c,78
1272,Rv0192,78
1273,Rv1155,78
1274,Rv3717,78
1275,Rv3194c,78
1276,Rv1512,78
1277,Rv2701c,78
1278,Rv1797,78
1279,Rv2604c,78
1280,Rv2921c,77
1281,Rv0068,77
1282,Rv2149c,77
1283,Rv3775,77
1284,Rv1672c,77
1285,Rv1190,76
1286,Rv1896c,76
1287,Rv3809c,76
