,loc_tag,abundance
1022,BSU15160,97
1023,BSU14900,97
1024,BSU31020,96
1025,BSU37710,96
1026,BSU37790,96
1027,BSU11370,96
1028,BSU34850,96
1029,BSU03020,95
1030,BSU03380,95
1031,BSU30240,95
1032,BSU36000,95
1033,BSU18150,95
1034,BSU00220,94
1035,BSU40080,94
1036,BSU07570,94
1037,BSU22490,94
1038,BSU00990,94
1039,BSU36390,94
1040,BSU17960,94
1041,BSU09150,93
1042,BSU10200,93
1043,BSU17710,93
1044,BSU23550,92
1045,BSU29570,91
1046,BSU11230,91
1047,BSU04670,91
1048,BSU19950,91
1049,BSU31530,90
1050,BSU21700,90
1051,BSU09750,90
1052,BSU00280,89
1053,BSU28150,89
1054,BSU26060,89
1055,BSU09930,89
1056,BSU08340,88
1057,BSU31170,88
1058,BSU22950,88
1059,BSU11040,88
1060,BSU14910,88
1061,BSU15070,88
1062,BSU34770,88
1063,BSU03340,88
1064,BSU36910,87
1065,BSU12510,87
1066,BSU05320,87
1067,BSU14520,87
1068,BSU09370,87
1069,BSU11700,87
1070,BSU15860,87
1071,BSU16150,86
1072,BSU28000,86
1073,BSU00440,86
1074,BSU23370,86
1075,BSU10250,86
1076,BSU32570,85
1077,BSU06620,85
1078,BSU10440,85
1079,BSU27870,85
1080,BSU11490,85
1081,BSU35730,85
1082,BSU17030,84
1083,BSU33330,84
1084,BSU36560,84
1085,BSU25330,84
1086,BSU05790,84
1087,BSU13670,84
1088,BSU21680,84
1089,BSU12610,84
1090,BSU31680,84
1091,BSU17400,83
1092,BSU33520,83
1093,BSU28830,83
1094,BSU03982,83
1095,BSU15300,83
1096,BSU29460,82
1097,BSU18040,82
1098,BSU26160,82
1099,BSU31000,82
1100,BSU29980,82
1101,BSU26470,82
1102,BSU18550,82
1103,BSU24630,82
1104,BSU32040,82
1105,BSU06920,81
1106,BSU14790,81
1107,BSU11000,81
1108,BSU28540,81
1109,BSU27710,81
1110,BSU27210,81
1111,BSU35680,81
1112,BSU17660,81
1113,BSU31150,81
1114,BSU23820,80
1115,BSU29090,80
1116,BSU08660,80
1117,BSU33700,80
1118,BSU13700,79
1119,BSU14370,79
1120,BSU25340,79
1121,BSU36010,79
1122,BSU05730,79
1123,BSU13480,79
1124,BSU40200,79
1125,BSU14390,78
1126,BSU11840,78
1127,BSU34820,78
1128,BSU14550,78
1129,BSU05750,78
1130,BSU12840,78
1131,BSU30490,77
1132,BSU00010,77
1133,BSU33610,77
1134,BSU32150,77
1135,BSU15140,77
1136,BSU37460,77
1137,BSU09900,77
1138,BSU11310,77
1139,BSU02360,77
1140,BSU08680,77
1141,BSU38530,77
1142,BSU00330,76
1143,BSU30190,76
1144,BSU02250,76
1145,BSU30630,76
1146,BSU25270,76
1147,BSU25580,76
1148,BSU16920,76
1149,BSU33180,76
1150,BSU36250,75
1151,BSU25160,75
1152,BSU37230,75
1153,BSU22060,75
1154,BSU07810,75
1155,BSU10160,75
1156,BSU23270,75
1157,BSU15760,75
1158,BSU18910,75
1159,BSU29100,75
1160,BSU41000,74
1161,BSU22020,74
1162,BSU03270,74
1163,BSU15480,74
1164,BSU14700,74
1165,BSU14890,74
1166,BSU07370,74
1167,BSU37550,73
1168,BSU16930,73
1169,BSU39070,73
1170,BSU06860,73
1171,BSU31400,73
1172,BSU24530,72
1173,BSU04260,72
1174,BSU33260,72
1175,BSU27490,72
1176,BSU04660,72
1177,BSU30990,72
1178,BSU25300,71
1179,BSU33730,71
1180,BSU08570,71
1181,BSU37730,71
1182,BSU00320,71
1183,BSU30310,70
1184,BSU35080,70
1185,BSU24210,70
1186,BSU37100,70
1187,BSU11910,70
1188,BSU34480,70
1189,BSU35480,70
1190,BSU25670,70
1191,BSU15840,69
1192,BSU30420,69
1193,BSU20800,69
1194,BSU34970,69
1195,BSU00980,69
1196,BSU10120,69
1197,BSU19210,69
1198,BSU25780,69
1199,BSU23260,69
1200,BSU00930,69
1201,BSU10750,69
1202,BSU25250,68
1203,BSU40540,68
1204,BSU05000,68
1205,BSU22540,68
1206,BSU33820,68
1207,BSU25130,68
1208,BSU18570,68
1209,BSU18490,68
1210,BSU23460,68
1211,BSU31500,67
1212,BSU10210,67
1213,BSU25390,67
1214,BSU15880,67
1215,BSU15850,66
1216,BSU31960,66
1217,BSU11940,66
1218,BSU04490,66
1219,BSU25640,66
1220,BSU19680,66
1221,BSU35940,66
1222,BSU16190,65
1223,BSU34990,65
1224,BSU00580,65
1225,BSU16390,65
1226,BSU08180,65
1227,BSU01000,65
1228,BSU11030,65
1229,BSU00460,65
1230,BSU37220,65
1231,BSU05740,65
1232,BSU40590,65
1233,BSU16130,65
1234,BSU35160,65
1235,BSU11600,65
1236,BSU32540,64
1237,BSU40210,64
1238,BSU06260,64
1239,BSU40230,64
1240,BSU35000,64
1241,BSU39790,64
1242,BSU15240,64
1243,BSU01740,64
1244,BSU19240,64
1245,BSU29560,64
1246,BSU11460,64
1247,BSU15790,64
1248,BSU32940,64
1249,BSU27720,63
1250,BSU39210,63
1251,BSU02350,63
1252,BSU16299,63
1253,BSU34380,63
1254,BSU22800,63
1255,BSU24070,63
1256,BSU08370,63
1257,BSU28550,63
1258,BSU03350,63
1259,BSU40220,62
1260,BSU27330,62
1261,BSU00140,62
1262,BSU13030,62
1263,BSU35510,61
1264,BSU23100,61
1265,BSU40580,61
1266,BSU22580,61
1267,BSU31070,61
1268,BSU13970,61
1269,BSU21460,61
1270,BSU35010,61
1271,BSU33010,61
1272,BSU40990,61
1273,BSU11610,60
1274,BSU09980,60
1275,BSU34430,60
1276,BSU11110,60
1277,BSU36620,60
1278,BSU35700,60
1279,BSU29830,60
1280,BSU29860,60
1281,BSU00960,60
1282,BSU00750,60
1283,BSU04430,59
1284,BSU23580,59
1285,BSU35950,59
1286,BSU31440,59
1287,BSU29480,58
1288,BSU23300,58
1289,BSU06610,58
1290,BSU08590,58
1291,BSU07640,58
1292,BSU03010,58
1293,BSU03070,57
1294,BSU15220,57
1295,BSU19350,57
1296,BSU15400,57
1297,BSU23560,57
1298,BSU26890,57
1299,BSU36690,57
1300,BSU19450,57
1301,BSU11360,57
1302,BSU21570,56
1303,BSU05620,56
1304,BSU03820,56
1305,BSU25370,56
1306,BSU16550,56
1307,BSU35780,56
1308,BSU15370,56
1309,BSU29520,56
1310,BSU36640,56
1311,BSU18010,56
1312,BSU02190,56
1313,BSU09530,56
1314,BSU04520,55
1315,BSU36420,55
1316,BSU35440,55
1317,BSU26550,55
1318,BSU06100,55
1319,BSU18530,55
1320,BSU15090,55
1321,BSU21620,54
1322,BSU13720,54
1323,BSU16620,54
1324,BSU27060,54
1325,BSU21990,54
1326,BSU28390,54
1327,BSU02410,54
1328,BSU36570,54
1329,BSU40710,54
1330,BSU33490,53
1331,BSU36930,53
1332,BSU01750,53
1333,BSU05400,53
1334,BSU00420,53
1335,BSU20890,53
1336,BSU31490,53
1337,BSU04740,53
1338,BSU27740,53
1339,BSU26930,53
1340,BSU31550,53
1341,BSU00210,52
1342,BSU02620,52
