,loc_tag,abundance
940,b4537,128
941,b3092,128
942,b2948,128
943,b2746,128
944,b2752,128
945,b3809,128
946,b3910,128
947,b3888,127
948,b3197,127
949,b0785,126
950,b1305,126
951,b3887,126
952,b2421,126
953,b0369,125
954,b3006,125
955,b3170,124
956,b1768,124
957,b0287,124
958,b0923,124
959,b1264,124
960,b0390,124
961,b4406,123
962,b0424,123
963,b0924,123
964,b1070,123
965,b1867,123
966,b3356,123
967,b0679,122
968,b1018,122
969,b0029,122
970,b1917,121
971,b1914,121
972,b4517,121
973,b4067,121
974,b3924,120
975,b0945,120
976,b1056,120
977,b0676,119
978,b4046,119
979,b1256,119
980,b0968,119
981,b2564,117
982,b0009,117
983,b2253,117
984,b2026,117
985,b4168,117
986,b1678,116
987,b0112,116
988,b3005,115
989,b2169,115
990,b0999,115
991,b2957,115
992,b4222,114
993,b2232,114
994,b2571,114
995,b3202,114
996,b3500,114
997,b0082,114
998,b1552,114
999,b0570,113
1000,b4161,113
1001,b4213,113
1002,b1846,113
1003,b4355,113
1004,b2688,113
1005,b0331,113
1006,b3055,113
1007,b0641,113
1008,b1178,112
1009,b3526,112
1010,b4162,112
1011,b4208,111
1012,b4056,111
1013,b0187,111
1014,b2594,111
1015,b2290,110
1016,b2343,110
1017,b2241,110
1018,b1624,110
1019,b4407,110
1020,b0557,110
1021,b1953,110
1022,b0393,109
1023,b2312,109
1024,b3200,109
1025,b3481,108
1026,b2301,108
1027,b2833,107
1028,b1423,107
1029,b3068,106
1030,b4558,105
1031,b2576,105
1032,b1422,105
1033,b1537,105
1034,b1729,105
1035,b0659,104
1036,b3146,104
1037,b0413,103
1038,b1625,103
1039,b0450,103
1040,b2137,103
1041,b0529,102
1042,b3346,102
1043,b2319,102
1044,b0408,101
1045,b0123,101
1046,b1217,101
1047,b0430,99
1048,b0121,99
1049,b1179,99
1050,b0452,99
1051,b0851,98
1052,b3771,98
1053,b0199,98
1054,b1829,98
1055,b2796,98
1056,b0675,97
1057,b4178,97
1058,b3440,97
1059,b3432,97
1060,b4506,96
1061,b4263,96
1062,b3686,96
1063,b2501,96
1064,b3282,95
1065,b1189,95
1066,b2279,95
1067,b3994,95
1068,b2329,94
1069,b1703,94
1070,b4002,94
1071,b2679,94
1072,b1120,94
1073,b3385,93
1074,b0484,93
1075,b2450,93
1076,b0699,93
1077,b1782,93
1078,b0051,93
1079,b0849,92
1080,b4352,92
1081,b3511,92
1082,b0006,92
1083,b1040,92
1084,b0662,91
1085,b3607,91
1086,b3447,91
1087,b2517,90
1088,b3300,90
1089,b3802,90
1090,b0080,90
1091,b3462,90
1092,b0221,89
1093,b1204,89
1094,b3019,89
1095,b4302,89
1096,b0421,89
1097,b2113,89
1098,b3361,89
1099,b0344,88
1100,b3963,88
1101,b0572,88
1102,b3616,88
1103,b4180,88
1104,b4052,87
1105,b3850,87
1106,b1049,87
1107,b3454,86
1108,b1687,86
1109,b0059,86
1110,b3054,86
1111,b1976,86
1112,b0030,86
1113,b0444,85
1114,b1593,85
1115,b1341,85
1116,b1767,85
1117,b2799,85
1118,b0721,85
1119,b1461,84
1120,b2344,84
1121,b3844,84
1122,b0736,84
1123,b1083,84
1124,b0485,84
1125,b4395,83
1126,b3704,83
1127,b0574,83
1128,b4058,82
1129,b2830,81
1130,b2411,81
1131,b4206,81
1132,b2532,81
1133,b2311,81
1134,b2524,81
1135,b3527,80
1136,b1661,80
1137,b1693,80
1138,b3605,80
1139,b0902,80
1140,b1059,80
1141,b0493,80
1142,b0914,79
1143,b1079,79
1144,b4269,79
1145,b2620,79
1146,b0196,79
1147,b0593,78
1148,b1675,78
1149,b1912,78
1150,b0456,78
1151,b4173,78
1152,b3813,78
1153,b1055,78
1154,b3407,78
1155,b0627,78
1156,b2562,77
1157,b1209,77
1158,b3965,77
1159,b3724,77
1160,b4392,77
1161,b1015,76
1162,b3099,76
1163,b3650,76
1164,b2897,76
1165,b4055,76
1166,b4259,76
1167,b3348,75
1168,b2500,75
1169,b0805,75
1170,b2494,75
1171,b0127,75
1172,b0207,75
1173,b4360,75
1174,b1082,74
1175,b1198,74
1176,b2306,74
1177,b3105,73
1178,b0143,73
1179,b3702,73
1180,b3281,73
1181,b0333,73
1182,b0182,72
1183,b1421,71
1184,b3037,71
1185,b1250,71
1186,b3869,71
1187,b4233,70
1188,b0596,70
1189,b3355,70
1190,b2568,70
1191,b1646,70
1192,b1211,69
1193,b1441,69
1194,b3972,69
1195,b2418,69
1196,b2186,69
1197,b3705,69
1198,b3147,68
1199,b3418,68
1200,b2593,68
1201,b3461,68
1202,b2676,68
1203,b2167,68
1204,b0825,68
1205,b0384,67
1206,b0712,67
1207,b0579,67
1208,b0784,67
1209,b4487,67
1210,b3034,67
1211,b0460,67
1212,b2079,67
1213,b4064,66
1214,b1126,66
1215,b2872,66
1216,b2804,66
1217,b3400,66
1218,b1284,66
1219,b0947,65
1220,b3541,65
1221,b0102,65
1222,b2034,65
1223,b1680,65
1224,b4043,65
1225,b2988,65
1226,b2302,65
1227,b0150,65
1228,b4019,65
1229,b2528,64
1230,b2038,64
1231,b2584,64
1232,b2315,64
1233,b3779,64
1234,b3752,64
1235,b1038,64
1236,b2906,64
1237,b0086,64
1238,b2700,63
1239,b3470,63
1240,b2527,63
1241,b3487,63
1242,b4097,63
1243,b2601,63
1244,b0388,63
1245,b3409,62
1246,b1098,62
1247,b0431,62
1248,b2024,62
1249,b2325,61
1250,b3032,61
1251,b4110,61
1252,b4480,61
1253,b3450,61
1254,b1924,61
1255,b2293,61
1256,b0592,61
1257,b3820,61
1258,b3113,61
1259,b1855,60
1260,b1323,60
1261,b2573,60
1262,b2765,60
1263,b2794,60
1264,b0174,60
1265,b0608,60
1266,b0054,60
1267,b0506,59
1268,b0779,59
1269,b4397,59
1270,b3540,58
1271,b2777,58
1272,b4187,58
1273,b4295,58
1274,b1014,58
1275,b1684,58
1276,b3528,57
1277,b0219,57
1278,b0101,57
1279,b1190,57
1280,b2936,56
1281,b1760,56
1282,b1668,55
1283,b2259,55
1284,b1180,55
1285,b0581,55
1286,b1086,55
1287,b0778,55
1288,b1114,55
1289,b1770,55
1290,b1922,55
1291,b3125,55
1292,b3574,55
1293,b1277,55
1294,b2412,55
1295,b3634,55
1296,b0409,55
1297,b0124,54
1298,b0025,54
1299,b0088,54
1300,b2994,54
1301,b3193,54
1302,b2587,54
1303,b2066,53
1304,b0990,53
1305,b4367,53
1306,b3179,53
1307,b2242,53
1308,b1519,53
1309,b0604,53
1310,b1281,53
1311,b2255,53
1312,b2811,53
1313,b0494,53
1314,b4149,52
1315,b0886,52
1316,b1462,52
1317,b0122,52
1318,b4122,52
1319,b1378,52
1320,b0241,52
1321,b3891,52
1322,b0462,52
1323,b0414,51
1324,b4211,51
1325,b3070,51
1326,b4138,51
1327,b0807,51
1328,b0961,51
1329,b1861,51
1330,b2742,51
1331,b3221,51
1332,b1737,51
1333,b4371,51
1334,b2667,51
1335,b2132,50
1336,b3843,50
1337,b2795,50
1338,b3950,50
1339,b0354,50
1340,b3697,50
1341,b1982,49
1342,b2745,49
1343,b2526,49
1344,b3884,49
1345,b0091,49
1346,b2252,48
1347,b4323,48
1348,b2012,48
1349,b1382,48
1350,b0711,48
1351,b0090,48
1352,b0458,48
1353,b2422,48
1354,b1777,48
1355,b0904,48
1356,b0636,47
1357,b0949,47
1358,b0208,47
1359,b1874,47
1360,b1068,47
1361,b2216,47
1362,b3992,47
1363,b0119,47
1364,b4090,47
1365,b2580,46
1366,b0417,46
1367,b2818,46
1368,b3785,46
1369,b4023,46
1370,b1248,46
1371,b4349,46
1372,b3129,45
1373,b1870,45
1374,b2193,45
1375,b2690,45
1376,b1885,45
1377,b3590,45
1378,b3053,45
1379,b0887,45
1380,b2086,44
1381,b0822,44
1382,b0489,44
1383,b2838,43
1384,b1090,43
1385,b1990,43
1386,b4088,43
1387,b1132,43
1388,b2467,43
1389,b3740,43
1390,b3117,42
1391,b0239,42
1392,b2159,42
1393,b2615,42
1394,b2563,41
1395,b3056,41
1396,b0922,41
1397,b2369,41
1398,b4218,41
1399,b1252,41
1400,b1851,40
1401,b4111,40
1402,b2240,40
1403,b1787,40
1404,b4152,40
1405,b3089,40
1406,b1356,40
1407,b2475,39
1408,b1280,39
1409,b3552,39
1410,b4049,39
1411,b3161,39
1412,b1034,39
1413,b1584,39
1414,b1119,39
1415,b1805,39
1416,b0772,39
1417,b0470,39
1418,b2566,39
1419,b1245,38
1420,b0351,38
1421,b1194,38
1422,b3416,38
1423,b2081,38
1424,b0092,38
1425,b1570,38
1426,b4098,38
1427,b1648,38
1428,b3114,38
1429,b3225,38
1430,b0737,38
1431,b3239,37
1432,b3839,37
1433,b0633,37
1434,b3345,37
1435,b4137,37
1436,b3397,37
1437,b3868,37
1438,b0761,37
1439,b1246,37
1440,b3163,37
1441,b2147,37
1442,b2473,36
1443,b2209,36
1444,b0167,36
1445,b1921,36
1446,b4242,36
1447,b2428,36
1448,b3746,36
1449,b2243,36
1450,b3187,36
1451,b4362,36
1452,b3981,36
1453,b0738,36
1454,b3289,35
1455,b3465,35
1456,b2793,35
1457,b0096,35
1458,b1636,35
1459,b2949,35
1460,b1377,35
1461,b1875,35
1462,b2870,35
1463,b3499,35
1464,b3772,35
1465,b2379,35
1466,b2392,35
1467,b1839,35
1468,b0599,35
1469,b1176,35
1470,b4328,35
1471,b2331,35
1472,b2439,35
1473,b1608,35
